POD01-OSAKA-OSK01-VB08-AMP-DC_MGMT-ESRS-01,VBOdhv-027
POD01-OSAKA-OSK01-VB08-AMP-DC_MGMT-ESRS-02,VBOdhv-028
POD01-OSAKA-OSK01-VB08-AMP-DC_MGMT-ESRS-03,VBOdhv-029
POD01-OSAKA-OSK01-VB08-AMP-ESX_AGENT-DSVA-01,VBOdhv-019
POD01-OSAKA-OSK01-VB08-AMP-ESX_AGENT-DSVA-02,VBOdhv-020
POD01-OSAKA-OSK01-VB08-AMP-ESX_AGENT-VADP-01,VBOdap-009
POD01-OSAKA-OSK01-VB08-AMP-ESX_AGENT-VADP-02,VBOdap-010
POD01-OSAKA-OSK01-VB08-AMP-REGION_MGMT-SRM,VBOdhv-037
POD01-OSAKA-OSK01-VB08-AMP-VB_MGMT-AM,VBOdhv-030
POD01-OSAKA-OSK01-VB08-AMP-VB_MGMT-SPLF,VB8-SPLUNK
POD01-OSAKA-OSK01-VB08-AMP-VB_MGMT-VC-A,VBOdhv-023a
POD01-OSAKA-OSK01-VB08-AMP-VB_MGMT-VC-B,VBOdhv-023b
POD01-OSAKA-OSK01-VB08-AMP-VB_MGMT-VCDB-A,VBOdhv-025
POD01-OSAKA-OSK01-VB08-AMP-VB_MGMT-VCDB-B,
POD01-OSAKA-OSK01-VB08-AMP-VB_MGMT-VUM-A,VBOdhv-024a
POD01-OSAKA-OSK01-VB08-AMP-VB_MGMT-VUM-B,VBOdhv-024b
POD01-OSAKA-OSK01-VB08-MGMT-DAAS_MGMT_REPLICA_VB01-VCD-A,VBCdhv-cd01
POD01-OSAKA-OSK01-VB08-MGMT-DAAS_MGMT_REPLICA_VB01-VCD-B,VBCdhv-cd02
POD01-OSAKA-OSK01-VB08-MGMT-DAAS_MGMT_REPLICA_VB01-VCDDB-LS,VBOdhv-058 (db02 Test)
POD01-OSAKA-OSK01-VB08-MGMT-DAAS_MGMT_REPLICA_VB01-VCDDB-M,VBOdhv-054 (db02 Failover)
POD01-OSAKA-OSK01-VB08-MGMT-DC_MGMT-AD-A,VBOdhv-011
POD01-OSAKA-OSK01-VB08-MGMT-DC_MGMT-AD-B,VBOdhv-012
POD01-OSAKA-OSK01-VB08-MGMT-DC_MGMT-SSO-A,VBOdhv-026a
POD01-OSAKA-OSK01-VB08-MGMT-DC_MGMT-SSO-B,VBOdhv-026b
POD01-OSAKA-OSK01-VB08-MGMT-DC_MGMT_REPLICA_VB01-SSO-A,VBCdhv-006-P
POD01-OSAKA-OSK01-VB08-MGMT-DC_MGMT_REPLICA_VB01-SSO-B,VBCdhv-006-HB
POD01-OSAKA-OSK01-VB08-MGMT-DC_MGMT_REPLICA_VB07-SSO-A,VBGdhv-006a
POD01-OSAKA-OSK01-VB08-MGMT-DC_MGMT_REPLICA_VB07-SSO-B,VBGdhv-006b
POD01-OSAKA-OSK01-VB08-MGMT-ESX_AGENT-DSVA-01,VBOdhv-015
POD01-OSAKA-OSK01-VB08-MGMT-ESX_AGENT-DSVA-02,VBOdhv-016
POD01-OSAKA-OSK01-VB08-MGMT-ESX_AGENT-DSVA-03,VBOdhv-017
POD01-OSAKA-OSK01-VB08-MGMT-ESX_AGENT-DSVA-04,VBOdhv-018
POD01-OSAKA-OSK01-VB08-MGMT-ESX_AGENT-VADP-01,VBOdap-005
POD01-OSAKA-OSK01-VB08-MGMT-ESX_AGENT-VADP-02,VBOdap-006
POD01-OSAKA-OSK01-VB08-MGMT-ESX_AGENT-VADP-03,VBOdap-007
POD01-OSAKA-OSK01-VB08-MGMT-ESX_AGENT-VADP-04,VBOdap-008
