DAAS_MGMT-LB-A	VBCdhv-elb01-0
DAAS_MGMT-LB-B	VBCdhv-elb01-1
DAAS_MGMT-VCD-A	VBCdhv-cd01
DAAS_MGMT-VCD-B	VBCdhv-cd02
DAAS_MGMT-VCDDB-A	VBCdhv-db02
DAAS_MGMT-VCDDB-B	VBCdhv-047
DAAS_MGMT-VCDDB-M	VBOdhv-054 (db02 Failover)
DAAS_MGMT-VCDDB-LS	VBOdhv-058 (db02 Test)
DC_MGMT-OSK01-AD-A	VBOdhv-011
DC_MGMT-OSK01-AD-B	VBOdhv-012
DC_MGMT-TKY01-AD-A	VBCdhv-001
DC_MGMT-TKY01-AD-B	VBCdhv-002
DC_MGMT-TKY02-AD-A	VBGdhv-001
DC_MGMT-TKY02-AD-B	VBGdhv-002
REGION_MGMT-TOKYO-DS	VBCdhv-067
REGION_MGMT-OSAKA-DS	VBOdhv-067
REGION_MGMT-TOKYO-DSDB	VBCdhv-068
REGION_MGMT-OSAKA-DSDB	VBOdhv-068
REGION_MGMT-OSAKA-SRM_RTEDGE	VBOdhv-100-0
REGION_MGMT-TOKYO-SRM_RTEDGE	VBCdhv-100-0
IAAS_MGMT-AD-01A	VBOdhv-013
REGION_MGMT-TOKYO-SRM_VRS	VBCdhv-038
IAAS_MGMT-AD-01B	VBOdhv-014
REGION_MGMT-TOKYO-SRM	VBCdhv-037
IAAS_MGMT-VCDDB-M	VBOdhv-055 (db03 Failover)
IAAS_MGMT-VCDDB-LS	VBOdhv-059 (db03 Test)
DC_MGMT-TKY01-ESRS-01	VBCdhv-007
DC_MGMT-TKY01-ESRS-02	VBCdhv-008
DC_MGMT-TKY02-SSO-A	VBGdhv-006a
DC_MGMT-TKY02-SSO-B	VBGdhv-006b
VB_MGMT-VB02-VCDB-M	VBOdhv-056 (VBCdhv-013 Failover)
VB_MGMT-VB02-VCDB-LS	VBOdhv-060 (VBCdhv-013 Test)
IAAS_MGMT-AD-02A	VBCdhv-063
IAAS_MGMT-AD-02B	VBCdhv-064
DC_MGMT-TKY01-ESRS-03	VBCdhv-009
IAAS_MGMT-CB-02	VBCdhv-cb02
IAAS_MGMT-CB-03	VBCdhv-cb03
IAAS_MGMT-LB-A	VBCdhv-elb03-0
IAAS_MGMT-LB-B	VBCdhv-elb03-1
IAAS_MGMT-VCD-A	VBCdhv-cd03
IAAS_MGMT-VCD-B	VBCdhv-cd04
IAAS_MGMT-VCDDB-A	VBCdhv-db03
IAAS_MGMT-VCDDB-B	VBCdhv-048
VB_MGMT-VB07-VCDB-M	VBOdhv-057 (VBGdhv-005 Failover)
VB_MGMT-VB07-VCDB-LS	VBOdhv-061 (VBGdhv-005 Test)
POD_MGMT-POD1-HYPRC	VBCdhv-hyp01
POD_MGMT-POD1-SPRI	VBCdhv-splidx01
POD_MGMT-POD1-UM	vCloud Usage Meter
POD_MGMT-POD1-VCO	VBCdhv-vco01
DC_MGMT-TKY01-SSO-A	VBCdhv-006-P
